"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00007206,,"B.E.E Centre Pty Ltd","B.E.E Centre Pty Ltd","PO Box 48",BUSSELTON,WA,6280,01/08/2012,
PR-00007208,,"Balga Senior High School Child Care Centre Inc","Balga Senior High School Child Care Centre Inc","2 Markham Way",BALGA,WA,6061,01/08/2012,
PR-00007211,,"BCC (WA) Holdings Pty Ltd","BCC (WA) Holdings Pty Ltd","54 Constellation Dve","OCEAN REEF",WA,6027,01/08/2012,
PR-00007216,,"Billabong Community Child Care Centre Inc.","Billabong Community Child Care Centre Inc.","PO Box 1261","EAST VICTORIA PARK",WA,6981,01/08/2012,
PR-00007217,,"Binningup Occasional Child Care Centre Inc.","Binningup Occasional Child Care Centre Inc.","1 Driftwood Way",BINNINGUP,WA,6233,01/08/2012,
PR-00007218,,"Birra-li Child Care Association Inc","Birra-li Child Care Association Inc","1 STACEY ST",WILLAGEE,WA,6156,01/08/2012,
PR-00007220,,"Blue Gum Early Learning and Child Care Centre Incorporated","Blue Gum Early Learning and Child Care Centre Incorporated","33 Moolyeen Road",BRENTWOOD,WA,6153,01/08/2012,
PR-00007221,,"Booragoon Occasional Child Care Centre Incorporated","Booragoon Occasional Child Care Centre Incorporated","PO Box 1242",BOORAGOON,WA,6154,01/08/2012,
PR-00007223,,"Braig Pty Ltd","Braig Pty Ltd","PO BOX 134",HILLARYS,WA,6923,01/08/2012,
PR-00007224,,"Bremer Bay Community Resource & Visitors Centre Inc","Bremer Bay Community Resource & Visitors Centre Inc","1 Mary St","BREMER BAY",WA,6338,01/08/2012,
PR-00007225,,"Brockman House Inc","Brockman House Inc","181 Altone Rd",BEECHBORO,WA,6063,01/08/2012,
PR-00007228,,"Broome Out of School Care Children's Activities Incorporated","Broome Out of School Care Children's Activities Incorporated","P O Box 1341",BROOME,WA,6725,01/08/2012,
PR-00007232,,"Bunbury Cathedral Grammar School Inc","Bunbury Cathedral Grammar School Inc","PO Box 1198",BUNBURY,WA,6231,01/08/2012,
PR-00007236,,"Cachet Holdings Pty Ltd ATF Morgan Family Trust","Cachet Holdings Pty Ltd","9 Cressall Rd",BALCATTA,WA,6021,01/08/2012,
PR-00007238,,"Canning Vale Prekindy Inc","Canning Vale Prekindy Inc","PO Box 5661","CANNING VALE SOUTH",WA,6155,01/08/2012,
PR-00007240,,"Care for Kids Pty Ltd ATF Care For Kids Trust","Care for Kids Pty Ltd ATF Care For Kids Trust","2 MILSON PL",O'CONNOR,WA,6163,01/08/2012,
PR-00007242,,"Carey Community Resources Ltd","Jump Carey Early Development","PO Box 1409","CANNING VALE",WA,6155,01/08/2012,
PR-00007248,,"Childcare Extraordinaire PTY LTD","Childcare Extraordinaire PTY LTD","PO Box 532",CAPEL,WA,6271,01/08/2012,
PR-00007250,,"One Tree Community Services Inc","One Tree Community Services Inc","PO Box 3074","BELMONT EAST",WA,6104,01/08/2012,
PR-00007251,,"Christian City Church Hepburn Heights Incorporated","Christian City Church Hepburn Heights Incorporated","PO Box 220, Kingsway LPO",LANDSDALE,WA,6065,01/08/2012,
PR-00007253,,"Christine Michele Gumpold ATF Gumpold Creaney Family Trust","Christine Gumpold","PO Box 1319","MARGARET RIVER",WA,6285,01/08/2012,
PR-00007254,,"Christmas Island Daycare Centre Inc.","Christmas Island Daycare Centre Inc.","PO Box 632","CHRISTMAS ISLAND",WA,6798,01/08/2012,
PR-00007255,,"City of Albany","City of Albany","PO Box 484",ALBANY,WA,6330,01/08/2012,
PR-00007256,,"Bayswater Child Care Association (Incorporated)","Bayswater Child Care Association (Incorporated)","27 Silverwood Street",EMBLETON,WA,6062,01/08/2012,
PR-00007259,,"City of Cockburn","City of Cockburn","PO Box 1215","BIBRA LAKE DC",WA,6965,01/08/2012,
PR-00007263,,"City Of Perth","City Of Perth","GPO Box C120",PERTH,WA,6000,01/08/2012,
PR-00007268,,"CJAY Holdings Pty Ltd ATF C Morgan Family Trust","CJay Holdings Pty Ltd","PO BOX 1094","WANGARA DC",WA,6947,01/08/2012,
PR-00007269,,"Climb ELC Pty Ltd atf The Climb Trust","Climb Early Learning Centre","7 Mettam Street",TRIGG,WA,6029,01/08/2012,
PR-00007271,,"Coastal Kids Care Incorporated","Coastal Kids Care Incorporated","PO Box 353","JURIEN BAY",WA,6516,01/08/2012,
PR-00007273,,"College Community Child Care Centre Incorporated","College Community Child Care Centre Incorporated","PO Box 1224",BUNBURY,WA,6231,01/08/2012,
PR-00007274,,"Collie Early Education Inc","Collie Early Education Inc","73 Throssell St",COLLIE,WA,6225,01/08/2012,
