"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00006159,,"Joyful Rainbow Pty Ltd","Joyful Rainbow Pty Ltd","PO Box 266","PARK HOLME",SA,5043,01/01/2012,
PR-00006160,,"Kadina Child Care Centre Inc","Kadina Child Care Centre Inc","19 Doswell Terrace",KADINA,SA,5554,01/01/2012,
PR-00006162,,"Kangaroo Island Children's Services Inc","Kangaroo Island Children's Services Inc","50 Buller Street",KINGSCOTE,SA,5223,01/01/2012,
PR-00006164,,"Kapunda Primary School Council Inc","Kapunda Primary School Council Inc","PO Box 500",KAPUNDA,SA,5373,01/01/2012,
PR-00006165,,"Kate Cocks Community Children's Centre Inc.","Kate Cocks Community Children's Centre Inc.","33 Hulbert Street",HOVE,SA,5048,01/01/2012,
PR-00006167,,"Keithcot Farm Children's Centre Childcare Inc","Keithcot Farm Children's Centre Childcare Inc","5 Keithcot Farm Drive","WYNN VALE",SA,5127,01/01/2012,
PR-00006168,,"Keithcot Farm Primary School Council Inc","Keithcot Farm Primary School Council Inc","5 Keithcot Farm Drive","WYNN VALE",SA,5127,01/01/2012,
PR-00006169,,"Kersbrook Primary School Council Inc","Kersbrook Primary School Council Inc","Bowden Street",KERSBROOK,SA,5231,01/01/2012,
PR-00006172,,"Kidman Park Community Child Care Centre","Kidman Park Community Child Care Centre","2 Francis Street","KIDMAN PARK",SA,5025,01/01/2012,
PR-00006173,,"Kidman Park Primary School Council","Kidman Park Primary School Council","Dean Avenue","KIDMAN PARK",SA,5025,01/01/2012,
PR-40031602,,"Peppy Dragon Pty. Ltd.","Peppy Dragon Childcare & Education","36 Windsor Rd",GLENUNGA,SA,5064,09/02/2023,"The approved provider must, within three months of being granted provider approval, undertake professional development in the importance of play-based learning. "
PR-40032232,,"UNITY COLLEGE INC",,"Unity College, 45 Owl Dr","MURRAY BRIDGE",SA,5253,14/06/2023,
