"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40007073,,"GRACEFUL COMMUNITY SERVICES INC.",,"20 Childs Rd",EPPING,VIC,3076,18/05/2016,
PR-40007076,,"A & J BANNERMAN PTY. LTD.",,"34 Tullaroan St","KELLYVILLE RIDGE",NSW,2155,30/03/2016,
PR-40007094,,"Country Childrens Early Learning Pty Ltd","Country Kids Club","84 Lute St",GUNDAROO,NSW,2620,15/03/2016,
PR-40007097,,"MINI EINSTEINS FAMILY DAY CARE PTY LTD","Sherpa Kids Granville","12 Campbell Hill Rd",GUILDFORD,NSW,2161,15/03/2016,
PR-40007114,,"KURHAN PTY LTD","Lighthouse Before & After School Care","59 Malinya Rd",DAVISTOWN,NSW,2251,27/04/2016,
PR-40007129,,"SERA DIRECT PTY. LTD.",,"U 6  8a Reed St",CREMORNE,NSW,2090,01/04/2016,
PR-40007149,,"Rebecca Raschilla and Fabio Raschilla","Bungalow OOSH Care","45 Murray Rd","EAST CORRIMAL",NSW,2518,23/03/2016,
PR-40007165,,"IOANA LELEI",,"21 Edmund Dr",TARNEIT,VIC,3029,30/05/2016,
PR-40007188,,"The Trustee for JAK's Family Trust",,"PO Box 103",CURLWAA,NSW,2648,30/08/2016,
PR-40007203,,"Star J & L Pty Ltd",,"19 Aster Pl",CALAMVALE,QLD,4116,22/07/2016,
PR-40007219,,"Algpo Pty Ltd as Trustee for Astin Family Trust",,"PO Box 2380",RUNCORN,QLD,4113,18/05/2016,
PR-40007220,,"LITTLE LEARNING SCHOOL CLEVELAND ST PTY LTD","Little Learning School Surry Hills","PO Box 164","ST LEONARDS",NSW,1590,18/03/2016,
PR-40007227,,"MAYFIELD CHILDCARE LIMITED","Mayfield Early Education","LEVEL 3 108 POWER ST",HAWTHORN,VIC,3122,07/07/2016,
PR-40007228,,"ROTASTAR EDUCATION PTY LTD",,"24 Eucla Cres",MALABAR,NSW,2036,18/03/2016,
PR-40007235,,"Alisha Falanga","Little Achievers Early Learning Centre","12 Wilco Ave","CABRAMATTA WEST",NSW,2166,05/04/2016,
PR-40007242,,"Kids Active Pty Ltd","Kids Active","21 Welbeck Road","CANNING VALE",WA,6155,19/04/2016,"In addition to compliance with the prescribed educator to child ratio set out in regulation 123 of the Education and Care Service National Regulations 2012 (Regulations), the approved provider must ensure that a minimum ratio of 1 educator to 7 children is maintained at all times for all excursions, as defined in the Regulations and including during the transportation of children to and from the service for the purpose of an excursion, across all services.

"
