"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40035242,,"ENRICHED EARLY LEARNING PTY LTD",,"26 Firth St",ARNCLIFFE,NSW,2205,07/12/2023,
PR-40035270,,"Hannah Lee Medellin",,"U 104  12 Stanley St",KOGARAH,NSW,2217,21/11/2023,
PR-40035272,,"EARLY ED PTY LTD","Carlingford ELC","PO BOX 209",CONCORD,NSW,2137,02/11/2023,
PR-40035302,,"FIRSTSTEP CHILDCARE PTY LTD",,"3 Bruce Street",MINTO,NSW,2566,26/02/2024,
PR-40035345,,"ST MARY'S TRADING PTY LTD",,"45 Myrtle St",PRESTONS,NSW,2170,26/03/2024,
PR-40035374,,"FY.A & CO PTY LTD",,"11 Weeney St","BEVERLEY PARK",NSW,2217,21/02/2024,
PR-40035381,,"OIRAMA PTY LTD",,"4 Beaumaris Dr",MENAI,NSW,2234,22/12/2023,
PR-00005033,,"Kindy Camp Pty Ltd","Kindy Camp Pty Ltd","4 Rose Street",CHATSWOOD,NSW,2067,01/09/2009,
PR-00005044,,"Bundeena Maianbar Preschool & Children's Services Inc","Bundeena Maianbar Preschool & Children's Services Inc","Bundeena Maianbar PreSchool & Children's Services Inc, Bundeena Drive",BUNDEENA,NSW,2230,01/09/2009,
PR-00005045,,"Georgett Phillip","Georgett Phillip","6 NIELSEN AV",CARLTON,NSW,2218,01/09/2009,
PR-00005046,,"W K Phillip Pty Ltd","W K Phillip Pty Ltd","68 Park Avenue","CAVES BEACH",NSW,2281,30/11/2009,
PR-00005047,,"The Hills Grammar School","The Hills Grammar School","Locked Bag 1","ROUND CORNER",NSW,2158,10/06/2010,
PR-00005052,,"Cooranbong Valley Community Preschool Incorporated","Cooranbong Valley Community Preschool Incorporated","PO Box 187",COORANBONG,NSW,2265,01/09/2009,
PR-00005053,,"St Anthony's Family Care","St Anthony's Family Care","9 Alexandra Avenue",CROYDON,NSW,2132,01/09/2009,
PR-00005054,,"Greater Hume Shire Council","Greater Hume Shire Council","1132 Burrows Rd",LAVINGTON,NSW,2641,01/09/2009,
PR-00005056,,"Lilly Pilly Community Pre-School Inc","Lilly Pilly Community Pre-School Inc","96 Kingsford Drive","BRUNSWICK HEADS",NSW,2482,01/09/2009,
PR-00005057,,"STEPPING STONES KINDERGARTEN PTY LIMITED","Stepping Stones Pty Limited","84 Glenfarne St",BEXLEY,NSW,2207,01/04/2010,
PR-00005059,,"YOYO CO PTY LTD","Yoyo Co Pty Ltd","PO Box 3190",ERINA,NSW,2250,19/11/2009,
PR-00005060,,"Kidz Care Kindergarten Pty Ltd","Kidz Care Kindergarten Pty Ltd","Oakhurst Pre-School , 88 Shinnick Dr",OAKHURST,NSW,2761,19/04/2010,
PR-00005061,,"Little Explorers Early Learning Centre Pty Ltd","Little Explorers Early Learning Centre Pty Ltd","33 Sutton Street",BLACKTOWN,NSW,2148,12/10/2009,
PR-00005062,,"Squeakers Pty Limited","Squeakers Pty Limited","128 Mortimer St",MUDGEE,NSW,2850,01/09/2009,
PR-00005064,,"Cawongla Playhouse Inc","Cawongla Playhouse Inc","5325 Kyogle Road",CAWONGLA,NSW,2474,01/09/2009,
PR-00005066,,"Antina Pty Limited",N/A,"4 Pianosa Place",GLENWOOD,NSW,2768,01/09/2009,
